Session_ID,Customer_ID,Vehicle_ID,Station_ID,Session_Start,Duration_Minutes,Energy_kWh,Tariff_per_kWh,Revenue,Charger_Type,Payment_Method,Weather,Traffic
CS000001,CU02937,V02937,S040,2025-03-10 05:03,78,15.8,11.5,181.7,DC Fast 60kW,Wallet,Hot,Medium
CS000002,CU00333,V00333,S002,2025-04-06 17:51,95,51.88,10.0,518.8,DC Fast 30kW,Debit Card,Clear,High
CS000003,CU00876,V00876,S030,2025-04-20 14:17,68,24.72,11.5,284.28,AC Fast,UPI,Clear,High
CS000004,CU00850,V00850,S034,2025-05-02 18:29,131,24.07,12.0,288.84,DC Fast 60kW,UPI,Rain,Low
CS000005,CU00568,V00568,S039,2025-04-14 07:53,100,57.83,10.0,578.3,DC Fast 30kW,Wallet,Cloudy,Medium
CS000006,CU02725,V02725,S026,2025-04-27 23:26,41,12.87,11.5,148.0,AC Fast,UPI,Clear,High
CS000007,CU01167,V01167,S041,2025-06-25 03:29,41,63.33,11.5,728.29,AC Slow,Credit Card,Hot,Medium
CS000008,CU00987,V00987,S035,2025-01-11 14:16,55,10.48,12.0,125.76,AC Slow,Credit Card,Cloudy,High
CS000009,CU02017,V02017,S017,2025-01-06 00:18,83,29.13,12.0,349.56,AC Fast,UPI,Clear,Low
CS000010,CU01081,V01081,S017,2025-05-23 16:22,105,50.47,11.5,580.4,AC Fast,Debit Card,Hot,Low
CS000011,CU00254,V00254,S039,2025-01-02 05:16,33,45.7,10.0,457.0,DC Ultra Fast 120kW,Wallet,Clear,Medium
CS000012,CU00693,V00693,S036,2025-04-16 04:48,74,60.02,9.0,540.18,AC Fast,Wallet,Hot,Low
CS000013,CU01115,V01115,S038,2025-06-15 22:49,36,34.54,9.0,310.86,DC Fast 30kW,Wallet,Rain,Medium
CS000014,CU02142,V02142,S016,2025-02-01 05:26,120,48.72,8.5,414.12,DC Fast 60kW,UPI,Rain,Medium
CS000015,CU00737,V00737,S037,2025-06-01 19:21,126,30.11,8.5,255.94,DC Fast 60kW,UPI,Clear,Medium
CS000016,CU02327,V02327,S005,2025-05-27 09:08,21,27.52,12.0,330.24,DC Fast 30kW,UPI,Clear,Low
CS000017,CU00323,V00323,S023,2025-05-01 14:53,46,64.01,9.0,576.09,DC Fast 60kW,UPI,Cloudy,Low
CS000018,CU02029,V02029,S036,2025-04-01 09:40,28,44.84,9.0,403.56,DC Ultra Fast 120kW,Debit Card,Clear,High
CS000019,CU00858,V00858,S045,2025-02-25 12:36,63,48.12,12.0,577.44,DC Fast 30kW,Wallet,Hot,Low
CS000020,CU01058,V01058,S047,2025-04-08 17:56,75,57.42,12.0,689.04,AC Fast,Credit Card,Rain,Low
CS000021,CU00963,V00963,S024,2025-01-29 21:46,28,62.91,11.5,723.46,AC Fast,Wallet,Cloudy,Low
CS000022,CU02178,V02178,S021,2025-04-29 05:44,24,9.83,12.0,117.96,DC Ultra Fast 120kW,Debit Card,Hot,Medium
CS000023,CU01548,V01548,S015,2025-06-06 14:11,97,64.29,9.0,578.61,DC Fast 30kW,Debit Card,Clear,Medium
CS000024,CU01957,V01957,S029,2025-02-20 20:50,101,11.39,9.0,102.51,AC Slow,UPI,Hot,Medium
CS000025,CU02714,V02714,S036,2025-05-12 15:38,45,9.39,10.0,93.9,DC Fast 60kW,Wallet,Cloudy,High
CS000026,CU00887,V00887,S046,2025-02-12 10:26,45,52.3,12.0,627.6,DC Fast 60kW,Wallet,Rain,High
CS000027,CU01459,V01459,S030,2025-06-16 13:35,64,42.22,12.0,506.64,DC Fast 60kW,UPI,Cloudy,Medium
CS000028,CU01286,V01286,S008,2025-01-30 13:16,43,31.74,9.0,285.66,DC Fast 60kW,Credit Card,Rain,High
CS000029,CU02717,V02717,S038,2025-02-22 10:00,81,51.62,12.0,619.44,DC Fast 30kW,Wallet,Rain,Medium
CS000030,CU02478,V02478,S012,2025-01-15 14:17,42,23.19,11.5,266.69,DC Ultra Fast 120kW,Credit Card,Rain,Low
CS000031,CU01635,V01635,S039,2025-05-01 03:15,134,35.61,10.0,356.1,AC Slow,UPI,Clear,Low
CS000032,CU02121,V02121,S010,2025-06-19 03:14,30,34.52,9.0,310.68,AC Fast,Debit Card,Hot,Low
CS000033,CU02071,V02071,S009,2025-02-05 11:48,53,56.84,8.5,483.14,DC Fast 60kW,Credit Card,Cloudy,Medium
